Rank,Product Name,Product URL,Image URL,Price,MRP,Discount,Rating,Rating Count,Delivery Time,Pack/Size,Max Quantity,Fetched Date,Fetched Time
18,Dabur Real Activ Tender Coconut Water,https://www.zeptonow.com/pn/dabur-real-activ-tender-coconut-water/pvid/ae1d7a60-e28b-4574-a885-78ef94d6dcef,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1177-2376,pr-true,f-auto,q-80/cms/product_variant/e7a3cb6a-e1f8-40e9-a77b-33e95e40e37f.jpeg",₹91,₹178,₹87 Off,4.4,(1.8k),9 mins,1 L,5,2025-07-12,10:14:47
19,Thums Up Soft Drink,https://www.zeptonow.com/pn/thums-up-soft-drink/pvid/03ce3bbd-406f-4822-9e7d-af067d4ef5b5,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/6769173d-138e-4dad-a053-5592d7ca726b.jpeg",₹97,₹99,₹2 Off,4.7,(48.1k),9 mins,2 l,12,2025-07-12,10:14:47
20,Hamdard Rooh Afza Rose Sharbat,https://www.zeptonow.com/pn/hamdard-rooh-afza-rose-sharbat/pvid/84a94db7-dc56-4738-96f6-ee1740ae42f0,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/9df7efef-7090-4642-a7e4-1aee994acb24.jpeg",₹179,₹180,₹1 Off,4.7,(336),9 mins,750 ml,12,2025-07-12,10:14:47
21,Amul Masti Spiced Buttermilk,https://www.zeptonow.com/pn/amul-masti-spiced-buttermilk/pvid/c6c27ff4-fd07-43c7-8691-31537db07f76,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/63d33414-97f5-4dfa-823d-56f33740deb9.jpeg",₹70,,,4.7,(12.0k),9 mins,1 L,10,2025-07-12,10:14:47
22,Sting Energy Drink,https://www.zeptonow.com/pn/sting-energy-drink/pvid/04130cf7-5ba0-4ed8-ac7b-7fe35beeb83c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/d2f81eb7-c656-4a67-916e-96956dc0c2f1.jpeg",₹20,,,4.7,(23.6k),9 mins,250 ml,16,2025-07-12,10:14:47
23,Coca Cola Soft Drink,https://www.zeptonow.com/pn/coca-cola-soft-drink/pvid/e7584d5d-6d99-44c2-89b9-5f50cccd50d7,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/766813b6-6996-4af8-bf6a-923c351e1756.jpeg",₹99,,,4.7,(23.4k),9 mins,2 l,6,2025-07-12,10:14:47
24,Perrier Natural Sparkling Water,https://www.zeptonow.com/pn/perrier-natural-sparkling-water/pvid/3ad14843-0d8d-406d-ba61-3f7ddb1af331,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/d1dc01bd-42e4-4548-98a8-bd56f6cc2999.jpg",₹660,,,5.0,(52),9 mins,4 x 330 ml,4,2025-07-12,10:14:47
25,Bombay Banta Masala Cola Soda,https://www.zeptonow.com/pn/bombay-banta-masala-cola-soda/pvid/fbdcdf5d-e0db-4b0c-a12d-05058e3a88a3,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/eeb648a1-894e-45af-a466-ba43b09403b3.jpg",₹240,,,4.6,(147),9 mins,1 pack (12 pcs),1,2025-07-12,10:14:47
26,Bombay Banta Masala Soda,https://www.zeptonow.com/pn/bombay-banta-masala-soda/pvid/f146eff7-fdc1-4e82-80d2-f0fc5b7a9a7a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/c4ed44b9-9192-474c-aace-45e020f7bf43.jpeg",₹233,₹240,₹7 Off,4.4,(947),9 mins,12 piece,3,2025-07-12,10:14:47
27,Hershey's Chocolate Syrup,https://www.zeptonow.com/pn/hersheys-chocolate-syrup/pvid/87a5dad2-6391-4c1e-b9b1-fa42012f9778,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/ac73365a-4c27-4a91-8cbe-9150f5ac26e4.jpeg",₹238,₹250,₹12 Off,4.4,(215),9 mins,623 g,2,2025-07-12,10:14:47
